Created Date,Folders,ID,Subject,Question,Instructor Answers,Student Answers
2024-11-22T01:13:08Z,project,177,Final Project Schedule Inquiry,How would we schedule our final project presentation? I see that there are three days allotted for final project presentations,"<md>Hi,

We will assign presentation dates to ensure an even distribution of students across all dates. Please use the provided Google Sheet to indicate which date is unavailable for your team.

Important details:
- Only one representative per team should complete the sheet on behalf of the entire team.
- Each team may select only one blackout date.
- For special cases or exceptions, please contact us directly via email.
- Make sure the information is accurate and submitted by November 26.
Access the sheet here: [Google Sheet Link](https://docs.google.com/spreadsheets/d/1T4nQB4gdK-hF6QLKgfmmz_wnYvVyWVc2L954XUjceD4/edit?usp=sharing).

Thank you!</md>",No student answer
2024-11-20T21:38:38Z,project,175,DuoAttention Sink Tokens,"<p>In the DuoAttention paper, it&#39;s mentioned that &#34;The identification process uses 128 sink tokens and 256 recent tokens.&#34;</p>
<p></p>
<p>In other cases, I believe it was mentioned that 4 sink tokens are usually sufficient – I was wondering if there was any particular reason to use 128 sink tokens &#43; 256 recent tokens during the $$\alpha$$-tuning process.</p>
<p></p>
<p>Thanks!</p>","<md>The reason for using 128 sink tokens and 256 recent tokens is due to the block sparse implementation of the streaming attention. Each block consists of 128 tokens, so during the process, we allocated one block for the sink tokens and two blocks for the recent tokens. This corresponds to 128 sink tokens and 256 recent tokens.</md>",No student answer
2024-11-14T20:40:03Z,project,171,Project partners?,"<md>I'm an Meng student looking for project partners! I'm particularly interested in on-device training, but am open to other topics. Reach out to me at birdy@mit.edu if you still need a team!</md>",No instructor answer,No student answer
2024-11-14T19:47:50Z,project,170,Any Guidelines on Project Proposal?,"<p>^ Title</p>
<p></p>
<p>Also, if we select project from ideas list, do we just mention which project we want to do</p>",No instructor answer,No student answer
2024-11-14T18:01:12Z,project,169,Looking for 1-2 Group Members,"Hi, two MEng students and I are looking for one-two others to join our group! Please let me know if you are interested by emailing sbhuiyan@mit.edu, thanks!",No instructor answer,No student answer
2024-11-14T14:45:07Z,project,168,Strictness of project page count,"<p>Hello, I just wanted to ask how strictly you&#39;re enforcing the 1-2 page limit on the project proposal. Is that a general guideline or really a requirement? Is it ok to have a proposal approaching 3 pages?</p>
<p></p>
<p>Thanks!</p>",We don&#39;t have a hard page limit on the project proposal. 1-2 pages is a general recommendation. Feel free to add more pages if you need.,No student answer
2024-11-14T02:24:57Z,lab5,167,[pset5] dyld[33401]: Symbol not found,"<md>Having followed @146 and @161, I reinstalled xcode command line tools, deactivated the conda environment, and still get this error. 

```
% ./evaluate.sh reference
dyld[33401]: Symbol not found: __ZNSt3__117bad_function_callD1Ev
  Referenced from: /Users/birdy/Documents/Meng Classes/tinyML/pset5/tinychat-tutorial/transformer/test_linear
  Expected in: /usr/lib/libc++.1.dylib
./evaluate.sh: line 34: 33401 Abort trap: 6           ./test_linear

All tests completed!
```

System info: 
```
% clang++ --version
Apple clang version 13.1.6 (clang-1316.0.21.2.5)
Target: arm64-apple-darwin21.3.0
Thread model: posix
InstalledDir: /Library/Developer/CommandLineTools/usr/bin

% uname -m
arm64
```

Has anyone else run into this? Any suggestions on how to fix it?</md>","<p>Did you try reinstalling homebrew and llvm (using homebrew)?</p>
<p></p>
<p>(also try upgrading mac os system if possible)</p>",<md>any updates on this? I have the same error lol.</md>
2024-11-13T21:08:59Z,project,166,Project Partner Request,"Hi! We’re Clay Coleman and Kenny Chen, two Harvard grad students with engineering backgrounds in industry in spatial AI and CV. We’re looking for partners to work on project(s) 4: On-device training or 5: MCUNet. Reply here or reach out to us at <a href=""mailto:ccoleman@g.harvard.edu"" target=""_blank"" rel=""noopener noreferrer"">ccoleman@g.harvard.edu</a> and <a href=""mailto:kennethchen@g.harvard.edu"" target=""_blank"" rel=""noopener noreferrer"">kennethchen@g.harvard.edu</a> if you&#39;re interested!",No instructor answer,No student answer
2024-11-13T19:38:51Z,project,165,Can late days be used on the project proposal?,eom,No instructor answer,No student answer
2024-11-13T18:54:58Z,lab5,164,Error running ./evaluate - (unknown target CPU &#39;armv8.2-a&#43;dotprod&#39;),"<md>Receiving into this error message whenever I run ./evaluate.sh 

Any guidance on how to solve? I have an M1 Mac and downloaded the QM_ARM model.
```
error: unknown target CPU 'armv8.2-a+dotprod'
note: valid target CPU values are: nocona, core2, penryn, bonnell, atom, silvermont, slm, goldmont, goldmont-plus, tremont, nehalem, corei7, westmere, sandybridge, corei7-avx, ivybridge, core-avx-i, haswell, core-avx2, broadwell, skylake, skylake-avx512, skx, cascadelake, cooperlake, cannonlake, icelake-client, rocketlake, icelake-server, tigerlake, sapphirerapids, alderlake, raptorlake, meteorlake, arrowlake, arrowlake-s, lunarlake, gracemont, pantherlake, sierraforest, grandridge, graniterapids, graniterapids-d, emeraldrapids, clearwaterforest, knl, knm, k8, athlon64, athlon-fx, opteron, k8-sse3, athlon64-sse3, opteron-sse3, amdfam10, barcelona, btver1, btver2, bdver1, bdver2, bdver3, bdver4, znver1, znver2, znver3, znver4, znver5, x86-64, x86-64-v2, x86-64-v3, x86-64-v4
make: *** [build/transformer/src/ops/BMM_S8T_S8N_F32T.o] Error 1
make: *** Waiting for unfinished jobs....
error: unknown target CPU 'armv8.2-a+dotprod'
note: valid target CPU values are: nocona, core2, penryn, bonnell, atom, silvermont, slm, goldmont, goldmont-plus, tremont, nehalem, corei7, westmere, sandybridge, corei7-avx, ivybridge, core-avx-i, haswell, core-avx2, broadwell, skylake, skylake-avx512, skx, cascadelake, cooperlake, cannonlake, icelake-client, rocketlake, icelake-server, tigerlake, sapphirerapids, alderlake, raptorlake, meteorlake, arrowlake, arrowlake-s, lunarlake, gracemont, pantherlake, sierraforest, grandridge, graniterapids, graniterapids-d, emeraldrapids, clearwaterforest, knl, knm, k8, athlon64, athlon-fx, opteron, k8-sse3, athlon64-sse3, opteron-sse3, amdfam10, barcelona, btver1, btver2, bdver1, bdver2, bdver3, bdver4, znver1, znver2, znver3, znver4, znver5, x86-64, x86-64-v2, x86-64-v3, x86-64-v4
error: unknown target CPU 'armv8.2-a+dotprod'
note: valid target CPU values are: nocona, core2, penryn, bonnell, atom, silvermont, slm, goldmont, goldmont-plus, tremont, nehalem, corei7, westmere, sandybridge, corei7-avx, ivybridge, core-avx-i, haswell, core-avx2, broadwell, skylake, skylake-avx512, skx, cascadelake, cooperlake, cannonlake, icelake-client, rocketlake, icelake-server, tigerlake, sapphirerapids, alderlake, raptorlake, meteorlake, arrowlake, arrowlake-s, lunarlake, gracemont, pantherlake, sierraforest, grandridge, graniterapids, graniterapids-d, emeraldrapids, clearwaterforest, knl, knm, k8, athlon64, athlon-fx, opteron, k8-sse3, athlon64-sse3, opteron-sse3, amdfam10, barcelona, btver1, btver2, bdver1, bdver2, bdver3, bdver4, znver1, znver2, znver3, znver4, znver5, x86-64, x86-64-v2, x86-64-v3, x86-64-v4
make: *** [build/transformer/src/OPTTokenizer.o] Error 1
make: *** [build/transformer/src/nn_modules/Fp32llamaDecoder.o] Error 1
error: unknown target CPU 'armv8.2-a+dotprod'
note: valid target CPU values are: nocona, core2, penryn, bonnell, atom, silvermont, slm, goldmont, goldmont-plus, tremont, nehalem, corei7, westmere, sandybridge, corei7-avx, ivybridge, core-avx-i, haswell, core-avx2, broadwell, skylake, skylake-avx512, skx, cascadelake, cooperlake, cannonlake, icelake-client, rocketlake, icelake-server, tigerlake, sapphirerapids, alderlake, raptorlake, meteorlake, arrowlake, arrowlake-s, lunarlake, gracemont, pantherlake, sierraforest, grandridge, graniterapids, graniterapids-d, emeraldrapids, clearwaterforest, knl, knm, k8, athlon64, athlon-fx, opteron, k8-sse3, athlon64-sse3, opteron-sse3, amdfam10, barcelona, btver1, btver2, bdver1, bdver2, bdver3, bdver4, znver1, znver2, znver3, znver4, znver5, x86-64, x86-64-v2, x86-64-v3, x86-64-v4
make: *** [build/transformer/src/LLaMAGenerate.o] Error 1
error: unknown target CPU 'armv8.2-a+dotprod'
note: valid target CPU values are: nocona, core2, penryn, bonnell, atom, silvermont, slm, goldmont, goldmont-plus, tremont, nehalem, corei7, westmere, sandybridge, corei7-avx, ivybridge, core-avx-i, haswell, core-avx2, broadwell, skylake, skylake-avx512, skx, cascadelake, cooperlake, cannonlake, icelake-client, rocketlake, icelake-server, tigerlake, sapphirerapids, alderlake, raptorlake, meteorlake, arrowlake, arrowlake-s, lunarlake, gracemont, pantherlake, sierraforest, grandridge, graniterapids, graniterapids-d, emeraldrapids, clearwaterforest, knl, knm, k8, athlon64, athlon-fx, opteron, k8-sse3, athlon64-sse3, opteron-sse3, amdfam10, barcelona, btver1, btver2, bdver1, bdver2, bdver3, bdver4, znver1, znver2, znver3, znver4, znver5, x86-64, x86-64-v2, x86-64-v3, x86-64-v4
make: *** [build/transformer/src/nn_modules/Int4llamaAttention.o] Error 1
```</md>","<p>Looks like your compiler is targeting x86. Could you check your architecture using</p>
<pre>
 uname -m</pre>
<p>and the target of your compiler using</p>
<pre>
clang&#43;&#43; --version</pre>
<p></p>
<p>Someone reported they opened their terminal using Rosetta, which basically emulated an x86 environment for you. Please avoid that if possible.</p>",No student answer
2024-11-13T04:43:57Z,lab5,163,Errror with ./evaluate,"<p>I&#39;m trying to run the first thing to check the dependencies but getting the following error. Homebrew seemed to have installed successfully. I&#39;m running on an M3 Mac. </p>
<p></p>
<pre>
make: /opt/homebrew/opt/llvm/bin/clang&#43;&#43;: No such file or directory
make: /opt/homebrew/opt/llvm/bin/clang&#43;&#43;: No such file or directory
make: /opt/homebrew/opt/llvm/bin/clang&#43;&#43;: No such file or directory
make: /opt/homebrew/opt/llvm/bin/clang&#43;&#43;: No such file or directory
make: /opt/homebrew/opt/llvm/bin/clang&#43;&#43;: No such file or directory
make: *** [build/transformer/src/LLaMAGenerate.o] Error 1
make: *** Waiting for unfinished jobs....
make: *** [build/transformer/src/OPTGenerate.o] Error 1
make: *** [build/transformer/src/OPTTokenizer.o] Error 1
make: *** [build/transformer/src/LLaMATokenizer.o] Error 1
make: *** [build/transformer/src/Generate.o] Error 1
make: /opt/homebrew/opt/llvm/bin/clang&#43;&#43;: No such file or directory
make: /opt/homebrew/opt/llvm/bin/clang&#43;&#43;: No such file or directory
make: *** [build/transformer/src/utils.o] Error 1
make: *** [build/transformer/src/nn_modules/Fp32llamaAttention.o] Error 1
Compilation failed!</pre>",No instructor answer,"<p>Try</p>
<pre>
<code>brew update
brew install llvm</code></pre>
<p></p>"
2024-11-13T04:00:34Z,lab5,162,Can&#39;t optimize TinyChatEngine on ARM Mac,"I can&#39;t run TinyChatEngine on my ARM Mac, will the staff provide a way for MacOS users to run TinyChatEngine so that we can do the bonus problem?",See my answer here: https://piazza.com/class/m05fat1q3i87bn/post/147,No student answer
2024-11-13T03:43:56Z,lab5,161,Lab 5: can&#39;t run ./evaluate.sh reference,"<p>followed @146 &#39;s example and re-installed Xcode command line tools but I am still getting the following error. I have an M3 for context. Has anyone run into this issue?</p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fk02pxy6ui204ed%2Ff84e97cb4e72ed01a718899c8d67808299f2381ebe3dc46eb708419b8fc52646%2Fimage.png"" alt=""image.pngNaN"" /></p>",No instructor answer,"I also ran on m3 and did not have any issue. Seems to be anaconda and Xcode compatibility issue: <a href=""https://stackoverflow.com/questions/63592445/ld-unsupported-tapi-file-type-tapi-tbd-in-yaml-file"">https://stackoverflow.com/questions/63592445/ld-unsupported-tapi-file-type-tapi-tbd-in-yaml-file</a>"
2024-11-13T03:14:30Z,lab5,160,How to generate git patch?,"<p>Used git diff &gt; ddd.patch and it generates a 130 thousand line long patch which I assume is incorrect.</p>
<p></p>
<p>How can you generate the patch?</p>","The command is correct. If you really cannot generate a patch you could submit a zip file of your folder (you may exclude transformer/INT4, which is the downloaded weight) and make a note of that.","I did a similar command, and it worked for me."
2024-11-13T02:18:53Z,lab5,159,int8_t has not been declared??,"<p>Hi, trying to test out the basic reference file. Getting the below error:</p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fktb0nxlly1k4nx%2Fea6d1b2fe47d14e3eb993ee8e51c2376f2ab836bf5c82146017da8e0e464cd02%2Fimage.png"" alt=""image.png"" /></p>
<p></p>
<p>Using MSYS2 on Windows with mingw.</p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fktb0nxlly1k4nx%2Fab2e0a3531d57ffafe7af03e2b75b3e24ee70a711dd98f65c91da328274f070b%2Fimage.png"" alt=""image.png"" /></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fktb0nxlly1k4nx%2F4ed60f3c832214dfea2f37dadb95269671c0c6dc9c0d4070093e2902f3bfe4b3%2Fimage.png"" alt=""image.png"" /></p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fktb0nxlly1k4nx%2F206a97dc4f9ba7fba289a90036791b7efc192a57e89e302303860af363148e20%2Fimage.png"" alt=""image.png"" /></p>
<p>What could be causing this?</p>",No instructor answer,RESOLVED- other questions were not very specific with title lol.
2024-11-13T01:03:54Z,lab5,157,simd error for ARM,"./kernels/starter_code/simd_programming.cc:94:28: error: always_inline function &#39;vdotq_s32&#39; requires target feature &#39;dotprod&#39;, but would be inlined into function &#39;mat_mul_simd_programming&#39; that is compiled without support for &#39;dotprod&#39;<br />   94 |                 int_sum0 = vdotq_s32(int_sum0, a0, lower_half);<br />      |                            ^<br /><br /><br />Hello, I got this weird error when trying to run the SIMD optimization. the line of code that it fails on is above, does anyone know what is going on here?",No instructor answer,<md>See @112</md>
2024-11-13T00:28:06Z,project,156,Where to submit project proposal?,"<p>Where can we submit the final project proposal?</p>
<p></p>
<p>Apologies if it&#39;s already posted. I haven&#39;t found any instruction so far.</p>",No instructor answer,"<p>it&#39;s on canvas <a href=""https://canvas.mit.edu/courses/28126/assignments/369095"" target=""_blank"" rel=""noopener noreferrer"">here</a></p>
<p></p>
<p>https://canvas.mit.edu/courses/28126/assignments/369095</p>"
2024-11-12T23:57:01Z,project,155,Two people looking for a team,"<md>Hello!

A classmate and I are looking for a team, if anyone is looking for two people, or possibly looking to join? We're interested in computer vision models (segmentation, etc.) & LLMs!</md>",No instructor answer,No student answer
2024-11-12T01:38:23Z,logistics,152,Can late days be broken up into multiple assignments?,"<p>Dear instructors,</p>
<p></p>
<p>I am wondering if our late days can be divided into multiple assignments or can only be used for one single assignment. I wasn&#39;t sure from reading your logistics section on the course website.</p>
<p></p>
<p>Thanks so much!</p>","<md>Hi,

Late days can be used for multiple assignments but we will accumulate the late days. The total allowed late days are 6 days.</md>",No student answer
2024-11-11T20:23:12Z,lab5,151,Is LLaMA_7B_2_chat used anywhere?,I feel like the `LLaMA_7B_2_chat` model was downloaded but never used. Am I missing anything? Just want to make sure. ,The weights in the downloaded model will be used to test your code. See test_linear.cc line 23.,No student answer
2024-11-11T17:03:27Z,project,150,Project proposal,"Are there any guidelines for the project proposal due this Thursday? What should it contain, and are there any samples we can refer to? Also, where do we turn in the assignment?",No instructor answer,any update on this?
2024-11-11T16:01:33Z,project,149,Project Collaboration Request,Is there anyone interested in doing work on the DuoAttention project that is still not grouped in a team? I am a 4th year undergrad with CUDA &#43; general MLeng experience with interest in this and I don&#39;t have a full team yet.,No instructor answer,I&#39;m definitely interested! I&#39;m a first year PhD student with a background in ML. Feel free to reach out to me at azhung@mit.edu
2024-11-11T06:58:05Z,lab5,148,loop_unrolling performs worse?,"<p>Has anyone seen their loop_unrolling perform slightly worse than the reference?</p>
<p></p>
<p>Similarly, multithreading_loop_unrolling seems to do worse than multithreading?</p>
<p></p>
<p>My code follows the same structure as the reference, just unrolled, so I&#39;m not sure what&#39;s going on.<br /><br />Maybe the compiler is making some simplifications with the reference version that it isn&#39;t with the loop_unrolling version?<br /><br />I&#39;m on x86 for what it&#39;s worth.<br /><br /><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fl7tj0zpcf4y4kx%2F11252e99a6e05a433614c70fac553f5ab58b82babd29ccdf17d8baaec61e21c1%2Fimage.png"" alt=""image.png"" /></p>","<p>Indeed, loop unrolling could sometimes lead to a performance drop given the complexity of modern CPUs and compilers.</p>
<p></p>
<p>I encourage you to find out why. You could use disassembly tools like <em>objdump</em> to view the compiled code, and use performance analysis tools like <em>perf</em> to profile the code. You could also try different optimization levels in Makefile (line 3 change O0 to O1 or O2. The compiler may do some automatic loop unrolling at O2 or higher, make sure to check the assembly code).</p>
<p></p>
<p>You will get full credit as long as your implementation is correct and you share some thoughts in the report.</p>",No student answer
2024-11-11T02:00:51Z,lab5,147,Reference performance for bonus points,<md>The handout says that we could get bonus points if we can further improve the performance compared to the optimized kernel in [TinyChatEngine](https://github.com/mit-han-lab/TinyChatEngine). How do we check the baseline performance of the optimized kernel?</md>,"<p>You may copy the latest kernel in the TinyChatEngine repo (kernels/avx/matmul_avx_int8_int4.cc or kernels/avx/matmul_neon_int8_int4.cc) to your codebase, and call it in transformer/src/ops/linear.cc:</p>
<p></p>
<pre>
op.mat_mul_accelerator_int8_int4_fast_no_offset(&amp;params);</pre>",No student answer
